f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
34, Private,175878, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private,126850, Prof-school,15, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
24, Private,249351, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
22, Private,246965, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,12, United-States, <=50K
50, Private,266945, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,3137,0,40, El-Salvador, <=50K
20, Private,281356, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, United-States, <=50K
59, Self-emp-inc,133201, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Italy, <=50K
30, Private,252752, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
33, Private,252168, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private,408623, Bachelors,13, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
59, Private,61885, 12th,8, Divorced, Transport-moving, Other-relative, Black, Male,0,0,35, United-States, <=50K
34, Local-gov,43959, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
59, Private,296253, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private,32921, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
37, Self-emp-not-inc,107410, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
18, Private,110142, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
54, Self-emp-not-inc,57101, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
26, Private,132661, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,5013,0,40, United-States, <=50K
20, Private,216972, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
36, Private,254202, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
50, Local-gov,50178, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,4064,0,55, United-States, <=50K
20, Private,190429, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Local-gov,221317, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
36, Self-emp-not-inc,138940, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
59, Self-emp-not-inc,247552, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
52, Private,155433, 5th-6th,3, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, ?, <=50K
39, Private,123983, Bachelors,13, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China, <=50K
21, Private,131230, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,37, United-States, <=50K
21, Private,283969, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
36, Private,114988, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private,113936, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private,198068, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Federal-gov,566117, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private,55215, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,55, United-States, <=50K
42, Self-emp-not-inc,238188, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,96, United-States, <=50K
31, Private,459465, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private,228493, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,48, United-States, <=50K
27, Local-gov,216013, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
29, Private,26451, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private,355686, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Private,389254, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
58, State-gov,110517, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,4064,0,40, India, <=50K
22, Private,317019, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States, <=50K
58, Private,114495, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
57, Private,195876, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Local-gov,489085, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
52, Private,230657, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,3781,0,40, Columbia, <=50K
51, Self-emp-not-inc,171924, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
57, Private,201991, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,122473, 9th,5, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,625,40, United-States, <=50K
64, Private,114994, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,18, United-States, <=50K
39, Private,194287, 7th-8th,4, Never-married, Other-service, Own-child, White, Male,0,1602,35, United-States, <=50K
50, Self-emp-not-inc,170562, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,20, United-States, <=50K
75, Self-emp-not-inc,213349, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
39, Private,147500, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, United-States, <=50K
41, Private,224799, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, ?,202521, 11th,7, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private,231569, Bachelors,13, Never-married, Sales, Not-in-family, Black, Female,0,0,50, United-States, <=50K
17, Private,186890, 10th,6, Married-civ-spouse, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
24, Private,395297, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
22, Private,103277, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
26, Private,335533, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
18, Private,106780, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
60, Private,83861, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Local-gov,35211, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
59, Private,158776, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
28, State-gov,189765, Some-college,10, Separated, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
31, Private,38223, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
50, Private,248619, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,259643, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Male,4650,0,40, United-States, <=50K
30, Private,311696, 11th,7, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,30, United-States, <=50K
33, Private,31449, Assoc-acdm,12, Divorced, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
61, Local-gov,35001, 7th-8th,4, Married-civ-spouse, Adm-clerical, Husband, White, Male,2885,0,40, United-States, <=50K
37, Private,181705, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private,151910, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private,296158, 10th,6, Married-civ-spouse, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
25, Self-emp-inc,90752, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
18, Self-emp-not-inc,258474, 10th,6, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
56, Private,271795, 11th,7, Divorced, Craft-repair, Not-in-family, White, Male,0,0,49, United-States, <=50K
29, Private,228346, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
56, Private,95763, 10th,6, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private,175413, HS-grad,9, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40, Jamaica, <=50K
52, ?,244214, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,35, United-States, <=50K
30, Self-emp-inc,178383, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,70, United-States, <=50K
24, ?,165350, HS-grad,9, Separated, ?, Not-in-family, Black, Male,0,0,50, Germany, <=50K
37, Private,138192, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
28, Private,265628, Assoc-voc,11, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private,208165, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
44, ?,91949, HS-grad,9, Never-married, ?, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Private,140790, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
35, State-gov,226789, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,75, United-States, <=50K
46, Private,148738, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1740,35, United-States, <=50K
23, Private,177526, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,202498, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, <=50K
22, Private,291386, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private,113703, Some-college,10, Never-married, Sales, Other-relative, White, Male,0,0,20, United-States, <=50K
29, Federal-gov,107411, Some-college,10, Married-spouse-absent, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private,114158, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private,107916, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2002,40, United-States, <=50K
43, Federal-gov,56063, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
28, Private,196690, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private,560804, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
48, Private,247685, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States, <=50K
33, Private,202822, 7th-8th,4, Never-married, Other-service, Unmarried, Black, Female,0,0,14, Trinadad&Tobago, <=50K
32, Self-emp-not-inc,180303, Bachelors,13, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,47, Iran, <=50K
20, Private,148509, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private,309196, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private,218903, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private,100605, HS-grad,9, Never-married, Sales, Own-child, Other, Male,0,0,40, Puerto-Rico, <=50K
33, Private,172304, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc,199240, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,20, England, <=50K
47, Private,99911, 12th,8, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0,0,55, United-States, <=50K
24, Private,151443, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, Black, Female,0,0,30, United-States, <=50K
20, Private,143062, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private,183513, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
17, Private,177629, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
45, State-gov,37672, Assoc-voc,11, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private,187802, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private,336984, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,17, United-States, <=50K
22, Private,341610, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,35, ?, <=50K
20, Private,113200, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,6, United-States, <=50K
51, Local-gov,47415, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,1628,30, United-States, <=50K
33, Self-emp-not-inc,24504, HS-grad,9, Separated, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
26, Private,194352, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
37, Private,179137, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,39, United-States, <=50K
33, Private,231826, 1st-4th,2, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
27, Private,146460, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private,167790, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private,149943, HS-grad,9, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male,4101,0,60, ?, <=50K
27, Private,136094, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
29, Federal-gov,196912, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
21, Private,155066, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc,107762, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
24, Private,34568, Assoc-voc,11, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Local-gov,288825, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
18, Private,161063, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
30, Self-emp-inc,224498, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Federal-gov,161240, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, State-gov,156294, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
62, Private,122033, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
30, Private,128016, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,55, United-States, <=50K
38, Private,363395, Some-college,10, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
27, ?,90270, Assoc-acdm,12, Married-civ-spouse, ?, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, ?,338212, Some-college,10, Married-civ-spouse, ?, Wife, White, Female,0,0,20, United-States, <=50K
70, Private,221603, Some-college,10, Widowed, Sales, Not-in-family, White, Female,0,0,34, United-States, <=50K
60, Local-gov,98350, Some-college,10, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,60, Philippines, <=50K
24, State-gov,184216, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc,103794, Assoc-voc,11, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
27, Private,52028, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, South, <=50K
63, ?,156799, HS-grad,9, Widowed, ?, Not-in-family, White, Female,0,0,4, United-States, <=50K
50, Private,116287, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, Columbia, <=50K
24, Private,206827, Some-college,10, Never-married, Sales, Own-child, White, Female,5060,0,30, United-States, <=50K
22, ?,177902, Some-college,10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
25, Private,169100, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,248851, Bachelors,13, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private,136935, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,0,13, United-States, <=50K
65, ?,293385, Preschool,1, Married-civ-spouse, ?, Husband, Black, Male,0,0,30, United-States, <=50K
44, Private,167005, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,55, United-States, <=50K
55, Private,225365, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
45, Private,128736, 10th,6, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, State-gov,206577, Some-college,10, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private,262208, Some-college,10, Never-married, Other-service, Not-in-family, Black, Female,0,0,30, Jamaica, <=50K
34, Private,173495, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc,211785, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Female,0,0,20, United-States, <=50K
58, State-gov,48433, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
21, Private,307315, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
45, Private,513660, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private,279173, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
31, Private,382368, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private,31603, Bachelors,13, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
19, Private,164585, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
46, Federal-gov,199925, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private,176486, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,36, United-States, <=50K
23, Local-gov,40021, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,70, United-States, <=50K
40, Private,82161, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, State-gov,77634, Preschool,1, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States, <=50K
48, Private,125892, Bachelors,13, Divorced, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
26, Private,164488, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,10, United-States, <=50K
36, Private,117381, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
23, Private,26248, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private,216811, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,16, United-States, <=50K
24, Private,233856, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, Black, Male,0,0,45, United-States, <=50K
18, ?,78567, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,30, United-States, <=50K
44, Federal-gov,191295, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,48, United-States, <=50K
24, Private,202721, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc,278522, 11th,7, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, United-States, <=50K
38, Private,167725, Bachelors,13, Married-spouse-absent, Transport-moving, Not-in-family, Other, Male,0,0,84, India, <=50K
18, Private,157131, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
33, Self-emp-not-inc,48702, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States, <=50K
39, Private,305597, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private,223648, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,4101,0,48, United-States, <=50K
36, Self-emp-not-inc,367020, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
22, Private,222993, HS-grad,9, Never-married, Prof-specialty, Own-child, White, Male,0,0,54, United-States, <=50K
45, Private,190115, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
78, ?,91534, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,3, United-States, <=50K
51, Federal-gov,124076, Bachelors,13, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc,261056, Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Female,2174,0,60, ?, <=50K
20, Private,161708, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
63, Private,145212, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, ?,350603, 10th,6, Never-married, ?, Own-child, White, Female,0,0,38, United-States, <=50K
79, ?,165209, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc,196504, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,23, United-States, <=50K
24, Private,38455, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, State-gov,190305, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
26, Local-gov,46097, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
68, ?,76371, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,35, United-States, <=50K
24, State-gov,90046, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
33, Self-emp-not-inc,327902, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
41, Private,201981, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
60, Private,121127, 10th,6, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private,159179, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private,360097, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
32, Private,178615, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,2407,0,40, United-States, <=50K
21, ?,163911, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,3, United-States, <=50K
32, Federal-gov,402361, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
68, ?,351402, Doctorate,16, Married-civ-spouse, ?, Husband, White, Male,0,0,70, United-States, <=50K
31, Private,198069, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
51, Self-emp-not-inc,136322, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1579,40, United-States, <=50K
18, Never-worked,153663, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,4, United-States, <=50K
36, Self-emp-inc,164866, Assoc-acdm,12, Separated, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
49, ?,407495, HS-grad,9, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,70, United-States, <=50K
42, Private,202565, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Italy, <=50K
21, Private,120326, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
30, Private,224147, HS-grad,9, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
17, Private,270587, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,20, England, <=50K
23, Private,213719, Assoc-acdm,12, Never-married, Sales, Own-child, Black, Female,0,0,36, United-States, <=50K
40, Local-gov,105862, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,5455,0,40, United-States, <=50K
21, Private,108670, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, State-gov,33798, Some-college,10, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
32, Private,34066, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
19, Private,331433, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,32, United-States, <=50K
26, Private,371556, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private,118693, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
32, State-gov,175931, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
23, Private,74568, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private,39827, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,0,0,40, Puerto-Rico, <=50K
39, Self-emp-not-inc,163204, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,170017, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,232614, HS-grad,9, Divorced, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
56, Private,230039, 7th-8th,4, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
24, Private,283872, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,20, United-States, <=50K
19, Private,406078, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
60, Private,178050, HS-grad,9, Divorced, Other-service, Unmarried, Black, Female,0,0,38, United-States, <=50K
50, Private,116933, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,33, United-States, <=50K
